name|cols
----|----
Запрос_Клиента|185
Запрос_План|299
ЗаявкаНаПеревозку|82
Контейнер|224
Разнарядка_Местоположение|45
Рейс|63
name|column_id|name
----|---------|----
Запрос_План|235|ID_НомерРаспределения
Запрос_План|236|Инструкция_экспедитору
Запрос_План|237|РЦ_грузополучатель
Запрос_План|238|ПримечаниеПоРаспределению
Запрос_План|239|СУТ_priority
Запрос_План|240|СУТ_temperature
Запрос_План|241|СУТ_date
Запрос_План|242|СуммаНДСФактРасход
Запрос_План|243|СуммаНДСФактДоход
Запрос_План|244|КопКА
Запрос_План|245|КопКАИзДругой
Запрос_План|246|ID_КопКАИзДругой
Запрос_План|247|РасходУвеличиватьНаЗначениеНДС
Запрос_План|248|ДоходУвеличиватьНаЗначениеНДС
Запрос_План|249|ID_ПлатежКредит
Запрос_План|250|НеУчитыватьВЗавершении
Запрос_План|251|ID_ВодительВозврат
Запрос_План|252|ID_КонтактВодителяВозврат
Запрос_План|253|ДлительностьРейса
Запрос_План|254|ID_ДлительностьРейса
Запрос_План|255|ПотраченоНаГСМ
Запрос_План|256|ID_ЕдиницаГСМ
Запрос_План|257|ГСМ
Запрос_План|258|ЦенаГСМ
Запрос_План|259|СтоимостьГСМ
Запрос_План|260|КопироватьВРасход
Запрос_План|261|ВремяНаПереход
Запрос_План|262|ВремяНаПогрузку
Запрос_План|263|ВремяНаОжидание
Запрос_План|264|РасстояниеДляПерехода
Запрос_План|265|РасстояниеДляПогрузки
Запрос_План|266|СрСкоростьДляПерехода
Запрос_План|267|СрСкоростьДляПогрузки
Запрос_План|268|ЗатратыГСМНаПереход
Запрос_План|269|ЗатратыГСМНаПогрузку
Запрос_План|270|ЗатратыГСМНаОжидание
Запрос_План|271|НормаЗатратГСМНаПереход
Запрос_План|272|НормаЗатратГСМНаПогрузку
Запрос_План|273|СредняяНормаЗатратГСМ
Запрос_План|274|ID_iВидНалога
Запрос_План|275|ID_iВидНалогаР
Запрос_План|276|ID_iВидНалога_Факт
Запрос_План|277|ID_iВидНалогаР_Факт
Запрос_План|278|ID_iНалогРасходаАгент
Запрос_План|279|ID_iНалогДоходаАгент
Запрос_План|280|Затарка
Запрос_План|281|1C_Ref
Запрос_План|282|ID_ТарифноеСоглашение
