parent_table                                                                                                                     parent_column                                                                                                                    ref_table                                                                                                                        ref_column                                                                                                                      
Место_обработки_грузов_КА_Ист                                                                                                    ID_Место_обработки_груза                                                                                                         Место_обработки_грузов                                                                                                           ID                                                                                                                              
Место_обработки_грузов_Контрагент                                                                                                ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Место_обработки_грузов_Контрагент                                                                                                ID_Место_обработки_груза                                                                                                         Место_обработки_грузов                                                                                                           ID                                                                                                                              
Место_обработки_грузов_Типы                                                                                                      ID_МОГ                                                                                                                           Место_обработки_грузов                                                                                                           ID                                                                                                                              
Место_обработки_грузов_Типы                                                                                                      ID_Тип                                                                                                                           Тип_места_обработки                                                                                                              ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_ВалСтоимости                                                                                                                  Валюта                                                                                                                           KOD                                                                                                                             
НаименованиеГруза                                                                                                                ID_ВидУпаковки                                                                                                                   Тип_Упаковки_контейнера                                                                                                          ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_Группы                                                                                                                        НаименованиеГруза                                                                                                                ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_ЕдИзм                                                                                                                         Единица_Измерения                                                                                                                ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_Изготовитель                                                                                                                  Контрагент                                                                                                                       ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_КлассОпасности                                                                                                                КлассОпасностиГруза                                                                                                              ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_КодТНВЭД                                                                                                                      КодТНВЭД                                                                                                                         ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_Поставщик                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_СтатусРД                                                                                                                      Статус_РД                                                                                                                        ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_СтранаИзготовитель                                                                                                            Страна                                                                                                                           ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_ТоварнаяГруппа                                                                                                                Товарная_Группа                                                                                                                  ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_ТоварнаяГруппаЛог                                                                                                             Товарная_Группа_Логистика                                                                                                        ID                                                                                                                              
НаименованиеГруза                                                                                                                ID_Экспортер                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
НаименованиеГруза                                                                                                                ГНГ                                                                                                                              ГНГ                                                                                                                              GNG_Code                                                                                                                        
НаименованиеГруза                                                                                                                ЕТСНГ                                                                                                                            ЕТСНГ                                                                                                                            ETCIS_Code                                                                                                                      
НаименованиеГруза_UoM                                                                                                            ID_НаименованиеГруза                                                                                                             НаименованиеГруза                                                                                                                ID                                                                                                                              
Оборудование                                                                                                                     ID_Арендодатель                                                                                                                  Контрагент                                                                                                                       ID                                                                                                                              
Оборудование                                                                                                                     ID_Владелец                                                                                                                      Контрагент                                                                                                                       ID                                                                                                                              
Оборудование                                                                                                                     ID_Продано                                                                                                                       Контрагент                                                                                                                       ID                                                                                                                              
Обязательные_Документы                                                                                                           ID_Изготовитель                                                                                                                  Контрагент                                                                                                                       ID                                                                                                                              
Операция_Рейса                                                                                                                   ID_КодОперации                                                                                                                   Коды_операций                                                                                                                    ID                                                                                                                              
Операция_Рейса                                                                                                                   ID_ФормируемыйСтатус                                                                                                             Статус_перевозки_ТО                                                                                                              ID                                                                                                                              
Отгрузка                                                                                                                         ID_XML_Income                                                                                                                    EDI_Message_Income                                                                                                               ID                                                                                                                              
Отгрузка                                                                                                                         ID_XMLДокумент                                                                                                                   EDI_Message_Outcome                                                                                                              ID                                                                                                                              
Отгрузка                                                                                                                         ID_ВалютаИнвойса                                                                                                                 Валюта                                                                                                                           KOD                                                                                                                             
Отгрузка                                                                                                                         ID_ВалютаКонтракта                                                                                                               Валюта                                                                                                                           KOD                                                                                                                             
Отгрузка                                                                                                                         ID_ВидДоставки                                                                                                                   ВидДоставки                                                                                                                      ID                                                                                                                              
Отгрузка                                                                                                                         ID_Грузоотправитель                                                                                                              Контрагент                                                                                                                       ID                                                                                                                              
Отгрузка                                                                                                                         ID_Договор                                                                                                                       Документ                                                                                                                         ID                                                                                                                              
Отгрузка                                                                                                                         ID_Консолидатор                                                                                                                  Контрагент                                                                                                                       ID                                                                                                                              
Отгрузка                                                                                                                         ID_Место_Назначения                                                                                                              Место_обработки_грузов                                                                                                           ID                                                                                                                              
Отгрузка                                                                                                                         ID_Ответственный                                                                                                                 Персона                                                                                                                          ID                                                                                                                              
Отгрузка                                                                                                                         ID_Перевозчик                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Отгрузка                                                                                                                         ID_Подразделение_Получатель                                                                                                      Место_обработки_грузов                                                                                                           ID                                                                                                                              
Отгрузка                                                                                                                         ID_Покупатель                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Отгрузка                                                                                                                         ID_Поставщик                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Отгрузка                                                                                                                         ID_Пункт_Назначения                                                                                                              НаселенныйПункт                                                                                                                  ID                                                                                                                              
Отгрузка                                                                                                                         ID_ПунктОтгрузки                                                                                                                 НаселенныйПункт                                                                                                                  ID                                                                                                                              
Отгрузка                                                                                                                         ID_Статус                                                                                                                        Статус_Отгрузки                                                                                                                  ID                                                                                                                              
Отгрузка                                                                                                                         ID_Статус_ПТиУ                                                                                                                   Статус_ПТиУ                                                                                                                      ID                                                                                                                              
Отгрузка                                                                                                                         ID_СтранаОтгрузки                                                                                                                Страна                                                                                                                           ID                                                                                                                              
Отгрузка                                                                                                                         ID_Тип_рейса                                                                                                                     Тип_Рейса                                                                                                                        ID                                                                                                                              
Отгрузка                                                                                                                         ID_ТС                                                                                                                            Транспортное_Средство                                                                                                            ID                                                                                                                              
Отгрузка                                                                                                                         ID_ТС2                                                                                                                           Транспортное_Средство                                                                                                            ID                                                                                                                              
Отгрузка                                                                                                                         ID_ТС3                                                                                                                           Транспортное_Средство                                                                                                            ID                                                                                                                              
Отгрузка                                                                                                                         ID_УсловияПоДоговору                                                                                                             Условия_По_Договору                                                                                                              ID                                                                                                                              
Отгрузка_ДопПоля_Отслеживание                                                                                                    ID_Отгрузка                                                                                                                      Отгрузка                                                                                                                         ID                                                                                                                              
Отгрузка_ДопПоля_Отслеживание                                                                                                    ID_ТО_Населенный_Пункт                                                                                                           НаселенныйПункт                                                                                                                  ID                                                                                                                              
Персона                                                                                                                          ID_Осн_Фирма                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Персона_Контрагент                                                                                                               ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Персона_ТипКонтрагента                                                                                                           ID_Тип_Контрагента                                                                                                               Тип_Контрагента                                                                                                                  ID                                                                                                                              
ПланПродаж                                                                                                                       ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Платеж                                                                                                                           ID_Выгодоприобр                                                                                                                  Контрагент                                                                                                                       ID                                                                                                                              
Платеж                                                                                                                           ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Платеж                                                                                                                           ID_Плательщик                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Платеж                                                                                                                           ID_Получатель                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Платеж                                                                                                                           ID_Собственная_фирма                                                                                                             Контрагент                                                                                                                       ID                                                                                                                              
Платеж_ЗаявкаНаОплату                                                                                                            ID_ЗаявкаНаОплату                                                                                                                ЗаявкаНаОплату                                                                                                                   ID                                                                                                                              
Платеж_ЗаявкаНаОплату                                                                                                            ID_Платеж                                                                                                                        Платеж                                                                                                                           ID                                                                                                                              
Подразделения                                                                                                                    ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
ПолеИзРазнарядки                                                                                                                 ID_Объект                                                                                                                        Объект                                                                                                                           ID                                                                                                                              
ПолеИзРазнарядки                                                                                                                 ID_Тип                                                                                                                           UserFieldType                                                                                                                    ID                                                                                                                              
ПоставщикиТендера                                                                                                                ID_Контрагента                                                                                                                   Контрагент                                                                                                                       ID                                                                                                                              
ПоставщикиТендера                                                                                                                Контакт_email                                                                                                                    Контрагент_Средство_Связи                                                                                                        ID                                                                                                                              
ПоставщикиТендера                                                                                                                Контакт_тел                                                                                                                      Контрагент_Средство_Связи                                                                                                        ID                                                                                                                              
Потребность                                                                                                                      ID_Покупатель                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Потребность                                                                                                                      ID_Поставщик                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Потребность_Строка                                                                                                               ID_ПравообладательВРФ                                                                                                            Контрагент                                                                                                                       ID                                                                                                                              
Потребность_Строка                                                                                                               ID_Производитель                                                                                                                 Контрагент                                                                                                                       ID                                                                                                                              
Потребность_Строка                                                                                                               ID_Экспортер                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Пошлины_ГТД                                                                                                                      ID_Контрагент                                                                                                                    Контрагент                                                                                                                       ID                                                                                                                              
Правило_Нумерации                                                                                                                ID_СвояФирма                                                                                                                     Контрагент                                                                                                                       ID                                                                                                                              
Предварительный_расчет                                                                                                           ID_Агент                                                                                                                         Контрагент                                                                                                                       ID                                                                                                                              
Предварительный_расчет                                                                                                           ID_Брокер                                                                                                                        Контрагент                                                                                                                       ID                                                                                                                              
Прейскурант                                                                                                                      ID_Валюта                                                                                                                        Валюта                                                                                                                           KOD                                                                                                                             
Прейскурант                                                                                                                      ID_Группы_Товаров                                                                                                                Вид_товара                                                                                                                       ID                                                                                                                              
Прейскурант                                                                                                                      ID_Единица                                                                                                                       Единица_Измерения                                                                                                                ID                                                                                                                              
